example_id,message,normalized_message,language,injured,trapped,fire,medical_emergency,people_affected,urgency,priority_label,priority_evidence_spans,temporal_status,perspective,severity_factors,missing_information_flags,needs_review,provenance,author_id,event_id,scenario_id,source_id,collection_session_id,paraphrase_group_id,template_family_id,annotator_id,second_reviewer_id,adjudication_status,review_reason,split,minimal_pair_id,minimal_pair_role,minimal_pair_changed_fact
PV4_03010,Please note that the homes are unsafe and families need to leave before the storm worsens at near the station. It was after the warning in the north side; the route remains open. We need responders.,please note that the homes are unsafe and families need to leave before the storm worsens at near the station. it was after the warning in the north side; the route remains open. we need responders.,en,0,0,0,0,12,4,HIGH,"[""the homes are unsafe and families need to leave before the storm worsens""]",current,household,"[""worsening condition""]",[],false,synthetic_proposed,author_003,event_00752,scenario_03010,synthetic_source_a,session_23,group_03010,family_collapse_01,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03011,Our update from outside the clinic is that someone is down near the old bridge. It was while traffic was light in the north side; the route remains open. Can anyone check this?,our update from outside the clinic is that someone is down near the old bridge. it was while traffic was light in the north side; the route remains open. can anyone check this?,en,0,0,0,0,7,3,HIGH,"[""someone is down near the old bridge""]",current,first_person,[],"[""condition"", ""time""]",true,synthetic_proposed,author_004,event_00752,scenario_03011,synthetic_source_a,session_24,group_03011,family_storm_02,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03012,Can someone respond to in our neighborhood? We have we need a ride out. It was during school hours in the north side; the route remains open. I do not know what to do.,can someone respond to in our neighborhood? we have we need a ride out. it was during school hours in the north side; the route remains open. i do not know what to do.,en,0,0,0,0,2,5,HIGH,"[""we need a ride out""]",current,household,[],"[""location"", ""hazard"", ""time""]",true,synthetic_proposed,author_005,event_00753,scenario_03012,synthetic_source_a,session_25,group_03012,family_road_03,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03013,Update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. It was near the market opening in the north side; the route remains open.,update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. it was near the market opening in the north side; the route remains open.,en,0,1,0,0,15,1,LOW,"[""the incident ended and everyone is safe""]",resolved,first_person,"[""entrapment context""]",[],false,synthetic_proposed,author_006,event_00753,scenario_03013,synthetic_source_a,session_26,group_03013,family_water_04,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03014,This happened before at behind the school: the storm last month damaged the roof. It was after the power returned in the north side; the route remains open.,this happened before at behind the school: the storm last month damaged the roof. it was after the power returned in the north side; the route remains open.,en,0,0,0,0,15,2,LOW,"[""the storm last month damaged the roof""]",historical,third_party_local,[],[],false,synthetic_proposed,author_007,event_00753,scenario_03014,synthetic_source_a,session_27,group_03014,family_missing_05,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03015,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was as the wind increased in the north side; the route remains open.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was as the wind increased in the north side; the route remains open.",en,0,1,0,0,14,2,LOW,"[""the exercise asks us to imagine a rescue""]",future,first_person,"[""entrapment context""]",[],false,synthetic_proposed,author_008,event_00753,scenario_03015,synthetic_source_a,session_28,group_03015,family_crowd_06,,,unreviewed,synthetic data; not human verified,validation,,,
PV4_03016,The local channel says the local channel reports a fire downtown at by the river. It was while the tide came in in the north side; the route remains open.,the local channel says the local channel reports a fire downtown at by the river. it was while the tide came in in the north side; the route remains open.,en,0,0,0,0,17,2,LOW,"[""the local channel reports a fire downtown""]",current,news_report,[],[],false,synthetic_proposed,author_009,event_00754,scenario_03016,synthetic_source_a,session_00,group_03016,family_utility_07,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03017,For responders near at the apartment block: a person is trapped but trained responders are already reaching them. It was before responders arrived in the north side; the route remains open. Can anyone check this?,for responders near at the apartment block: a person is trapped but trained responders are already reaching them. it was before responders arrived in the north side; the route remains open. can anyone check this?,en,0,1,0,0,3,3,CRITICAL,"[""a person is trapped but trained responders are already reaching them""]",current,household,"[""entrapment context""]",[],true,synthetic_proposed,author_010,event_00754,scenario_03017,synthetic_source_a,session_01,group_03017,family_flood_08,,,unreviewed,synthetic data; not human verified,validation,,,
PV4_03018,A resident near near the station says a person is trapped inside and smoke is filling the room. It was after neighbors gathered in the north side; the route remains open. I do not know what to do.,a resident near near the station says a person is trapped inside and smoke is filling the room. it was after neighbors gathered in the north side; the route remains open. i do not know what to do.,en,0,1,1,0,10,3,CRITICAL,"[""a person is trapped inside and smoke is filling the room""]",current,third_party_local,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_011,event_00754,scenario_03018,synthetic_source_a,session_02,group_03018,family_fire_09,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03019,"Please record this location, outside the clinic, and this fact: one person has a small injury and can walk. It was during the road closure in the north side; the route remains open. Please advise when you can.","please record this location, outside the clinic, and this fact: one person has a small injury and can walk. it was during the road closure in the north side; the route remains open. please advise when you can.",en,1,0,0,1,6,1,MEDIUM,"[""one person has a small injury and can walk""]",current,household,"[""minor injury""]",[],false,synthetic_proposed,author_012,event_00754,scenario_03019,synthetic_source_a,session_03,group_03019,family_medical_10,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03020,"Our group is at in our neighborhood, where one person has severe bleeding and is becoming weak. It was while we waited in the north side; the route remains open. No one here can handle it alone.","our group is at in our neighborhood, where one person has severe bleeding and is becoming weak. it was while we waited in the north side; the route remains open. no one here can handle it alone.",en,1,0,0,1,10,4,CRITICAL,"[""one person has severe bleeding and is becoming weak""]",current,third_party_local,"[""immediate threat"", ""severe injury""]",[],true,synthetic_proposed,author_013,event_00755,scenario_03020,synthetic_source_a,session_04,group_03020,family_collapse_11,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03021,Update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. It was before dawn in the north side; the nearest clinic is far away.,update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. it was before dawn in the north side; the nearest clinic is far away.,en,0,0,1,0,10,1,LOW,"[""the fire was contained and no one needs help""]",resolved,household,[],[],false,synthetic_proposed,author_014,event_00755,scenario_03021,synthetic_source_a,session_05,group_03021,family_storm_12,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03022,Please note that smoke is near several homes but residents have a clear way out at behind the school. It was early this morning in the north side; the nearest clinic is far away. We need responders.,please note that smoke is near several homes but residents have a clear way out at behind the school. it was early this morning in the north side; the nearest clinic is far away. we need responders.,en,0,0,1,0,2,2,HIGH,"[""smoke is near several homes but residents have a clear way out""]",current,household,"[""worsening condition""]",[],false,synthetic_proposed,author_015,event_00755,scenario_03022,synthetic_source_a,session_06,group_03022,family_road_13,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03023,Our update from on the east road is that water is rising around homes and people can still reach the road. It was during the morning in the north side; the nearest clinic is far away. Can anyone check this?,our update from on the east road is that water is rising around homes and people can still reach the road. it was during the morning in the north side; the nearest clinic is far away. can anyone check this?,en,0,0,0,0,6,1,HIGH,"[""water is rising around homes and people can still reach the road""]",current,first_person,"[""worsening condition""]",[],false,synthetic_proposed,author_016,event_00755,scenario_03023,synthetic_source_a,session_07,group_03023,family_water_14,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03024,Can someone respond to by the river? We have water is rising and we cannot get out of the upper floor. It was around noon in the north side; the nearest clinic is far away. I do not know what to do.,can someone respond to by the river? we have water is rising and we cannot get out of the upper floor. it was around noon in the north side; the nearest clinic is far away. i do not know what to do.,en,0,1,0,0,5,2,CRITICAL,"[""water is rising and we cannot get out of the upper floor""]",current,first_person,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_017,event_00756,scenario_03024,synthetic_source_a,session_08,group_03024,family_missing_15,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03025,"From at the apartment block, I can report: the road is blocked by branches but nobody is hurt. It was after lunch in the north side; the nearest clinic is far away. Please advise when you can.","from at the apartment block, i can report: the road is blocked by branches but nobody is hurt. it was after lunch in the north side; the nearest clinic is far away. please advise when you can.",en,0,0,0,0,6,4,HIGH,"[""the road is blocked by branches but nobody is hurt""]",current,first_person,[],[],false,synthetic_proposed,author_018,event_00756,scenario_03025,synthetic_source_a,session_09,group_03025,family_crowd_16,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03026,The situation at near the station is the homes are unsafe and families need to leave before the storm worsens. It was in the afternoon in the north side; the nearest clinic is far away. No one here can handle it alone.,the situation at near the station is the homes are unsafe and families need to leave before the storm worsens. it was in the afternoon in the north side; the nearest clinic is far away. no one here can handle it alone.,en,0,0,0,0,14,4,HIGH,"[""the homes are unsafe and families need to leave before the storm worsens""]",current,household,"[""worsening condition""]",[],false,synthetic_proposed,author_019,event_00756,scenario_03026,synthetic_source_a,session_10,group_03026,family_utility_00,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03027,We are calling about outside the clinic; someone is down near the old bridge. It was near sunset in the north side; the nearest clinic is far away. Please send assistance.,we are calling about outside the clinic; someone is down near the old bridge. it was near sunset in the north side; the nearest clinic is far away. please send assistance.,en,0,0,0,0,7,3,MEDIUM,"[""someone is down near the old bridge""]",current,first_person,[],"[""condition"", ""time""]",true,synthetic_proposed,author_020,event_00756,scenario_03027,synthetic_source_a,session_11,group_03027,family_flood_01,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03028,"At in our neighborhood, the message is simple: we need a ride out. It was this evening in the north side; the nearest clinic is far away. We need responders.","at in our neighborhood, the message is simple: we need a ride out. it was this evening in the north side; the nearest clinic is far away. we need responders.",en,0,0,1,0,17,1,HIGH,"[""we need a ride out""]",current,household,[],"[""location"", ""hazard"", ""time""]",true,synthetic_proposed,author_021,event_00757,scenario_03028,synthetic_source_a,session_12,group_03028,family_fire_02,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03029,Update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. It was after dark in the north side; the nearest clinic is far away.,update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. it was after dark in the north side; the nearest clinic is far away.,en,0,1,0,1,9,1,LOW,"[""the incident ended and everyone is safe""]",resolved,first_person,"[""entrapment context""]",[],false,synthetic_proposed,author_022,event_00757,scenario_03029,synthetic_source_a,session_13,group_03029,family_medical_03,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03030,This happened before at behind the school: the storm last month damaged the roof. It was overnight in the north side; the nearest clinic is far away.,this happened before at behind the school: the storm last month damaged the roof. it was overnight in the north side; the nearest clinic is far away.,en,0,0,0,0,17,2,LOW,"[""the storm last month damaged the roof""]",historical,household,[],[],false,synthetic_proposed,author_023,event_00757,scenario_03030,synthetic_source_a,session_14,group_03030,family_collapse_04,,,unreviewed,synthetic data; not human verified,validation,,,
PV4_03031,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was during the first watch in the north side; the nearest clinic is far away.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was during the first watch in the north side; the nearest clinic is far away.",en,0,1,0,0,16,2,LOW,"[""the exercise asks us to imagine a rescue""]",future,first_person,"[""entrapment context""]",[],false,synthetic_proposed,author_024,event_00757,scenario_03031,synthetic_source_a,session_15,group_03031,family_storm_05,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03032,The local channel says the local channel reports a fire downtown at by the river. It was at shift change in the north side; the nearest clinic is far away.,the local channel says the local channel reports a fire downtown at by the river. it was at shift change in the north side; the nearest clinic is far away.,en,0,0,0,0,16,2,LOW,"[""the local channel reports a fire downtown""]",current,news_report,[],[],false,synthetic_proposed,author_025,event_00758,scenario_03032,synthetic_source_a,session_16,group_03032,family_road_06,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03033,I am reporting this from at the apartment block: a person is trapped but trained responders are already reaching them. It was before the rain in the north side; the nearest clinic is far away. Please send assistance.,i am reporting this from at the apartment block: a person is trapped but trained responders are already reaching them. it was before the rain in the north side; the nearest clinic is far away. please send assistance.,en,0,1,0,0,4,3,CRITICAL,"[""a person is trapped but trained responders are already reaching them""]",current,household,"[""entrapment context""]",[],true,synthetic_proposed,author_026,event_00758,scenario_03033,synthetic_source_a,session_17,group_03033,family_water_07,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03034,Please note that a person is trapped inside and smoke is filling the room at near the station. It was after the warning in the north side; the nearest clinic is far away. We need responders.,please note that a person is trapped inside and smoke is filling the room at near the station. it was after the warning in the north side; the nearest clinic is far away. we need responders.,en,0,1,1,0,14,3,CRITICAL,"[""a person is trapped inside and smoke is filling the room""]",current,first_person,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_027,event_00758,scenario_03034,synthetic_source_a,session_18,group_03034,family_missing_08,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03035,Our update from outside the clinic is that one person has a small injury and can walk. It was while traffic was light in the north side; the nearest clinic is far away. Can anyone check this?,our update from outside the clinic is that one person has a small injury and can walk. it was while traffic was light in the north side; the nearest clinic is far away. can anyone check this?,en,1,0,0,0,1,2,HIGH,"[""one person has a small injury and can walk""]",current,first_person,"[""minor injury""]",[],false,synthetic_proposed,author_028,event_00758,scenario_03035,synthetic_source_a,session_19,group_03035,family_crowd_09,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03036,Can someone respond to in our neighborhood? We have one person has severe bleeding and is becoming weak. It was during school hours in the north side; the nearest clinic is far away. I do not know what to do.,can someone respond to in our neighborhood? we have one person has severe bleeding and is becoming weak. it was during school hours in the north side; the nearest clinic is far away. i do not know what to do.,en,1,0,0,1,17,5,CRITICAL,"[""one person has severe bleeding and is becoming weak""]",current,household,"[""immediate threat"", ""severe injury""]",[],true,synthetic_proposed,author_029,event_00759,scenario_03036,synthetic_source_a,session_20,group_03036,family_utility_10,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03037,The situation at behind the school is smoke is near several homes but residents have a clear way out. It was after the power returned in the north side; the nearest clinic is far away. No one here can handle it alone.,the situation at behind the school is smoke is near several homes but residents have a clear way out. it was after the power returned in the north side; the nearest clinic is far away. no one here can handle it alone.,en,0,0,1,0,2,4,HIGH,"[""smoke is near several homes but residents have a clear way out""]",current,first_person,"[""worsening condition""]",[],false,synthetic_proposed,author_030,event_00759,scenario_03037,synthetic_source_a,session_21,group_03037,family_fire_11,,,unreviewed,synthetic data; not human verified,test,,,
PV4_03038,We are calling about on the east road; water is rising around homes and people can still reach the road. It was as the wind increased in the north side; the nearest clinic is far away. Please send assistance.,we are calling about on the east road; water is rising around homes and people can still reach the road. it was as the wind increased in the north side; the nearest clinic is far away. please send assistance.,en,0,0,0,1,16,1,HIGH,"[""water is rising around homes and people can still reach the road""]",current,first_person,"[""worsening condition""]",[],false,synthetic_proposed,author_031,event_00759,scenario_03038,synthetic_source_a,session_22,group_03038,family_medical_12,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03039,"At by the river, the message is simple: water is rising and we cannot get out of the upper floor. It was while the tide came in in the north side; the nearest clinic is far away. We need responders.","at by the river, the message is simple: water is rising and we cannot get out of the upper floor. it was while the tide came in in the north side; the nearest clinic is far away. we need responders.",en,0,1,0,0,9,2,CRITICAL,"[""water is rising and we cannot get out of the upper floor""]",current,first_person,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_032,event_00759,scenario_03039,synthetic_source_a,session_23,group_03039,family_collapse_13,,,unreviewed,synthetic data; not human verified,validation,,,
PV4_03040,For responders near at the apartment block: the road is blocked by branches but nobody is hurt. It was before responders arrived in the north side; the nearest clinic is far away. Can anyone check this?,for responders near at the apartment block: the road is blocked by branches but nobody is hurt. it was before responders arrived in the north side; the nearest clinic is far away. can anyone check this?,en,0,0,0,0,8,4,HIGH,"[""the road is blocked by branches but nobody is hurt""]",current,first_person,[],[],false,synthetic_proposed,author_033,event_00760,scenario_03040,synthetic_source_a,session_24,group_03040,family_storm_14,,,unreviewed,synthetic data; not human verified,validation,,,
PV4_03041,A resident near near the station says the homes are unsafe and families need to leave before the storm worsens. It was after neighbors gathered in the north side; the nearest clinic is far away. I do not know what to do.,a resident near near the station says the homes are unsafe and families need to leave before the storm worsens. it was after neighbors gathered in the north side; the nearest clinic is far away. i do not know what to do.,en,0,0,0,0,18,4,HIGH,"[""the homes are unsafe and families need to leave before the storm worsens""]",current,household,"[""worsening condition""]",[],false,synthetic_proposed,author_034,event_00760,scenario_03041,synthetic_source_a,session_25,group_03041,family_road_15,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03042,"Please record this location, outside the clinic, and this fact: someone is down near the old bridge. It was during the road closure in the north side; the nearest clinic is far away. Please advise when you can.","please record this location, outside the clinic, and this fact: someone is down near the old bridge. it was during the road closure in the north side; the nearest clinic is far away. please advise when you can.",en,0,0,0,0,6,3,MEDIUM,"[""someone is down near the old bridge""]",current,household,[],"[""condition"", ""time""]",true,synthetic_proposed,author_035,event_00760,scenario_03042,synthetic_source_a,session_26,group_03042,family_water_16,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03043,"Our group is at in our neighborhood, where we need a ride out. It was while we waited in the north side; the nearest clinic is far away. No one here can handle it alone.","our group is at in our neighborhood, where we need a ride out. it was while we waited in the north side; the nearest clinic is far away. no one here can handle it alone.",en,0,0,0,0,11,1,MEDIUM,"[""we need a ride out""]",current,first_person,[],"[""location"", ""hazard"", ""time""]",true,synthetic_proposed,author_036,event_00760,scenario_03043,synthetic_source_a,session_27,group_03043,family_missing_00,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03044,Update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. It was before dawn in the north side; our phones are unreliable.,update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. it was before dawn in the north side; our phones are unreliable.,en,0,1,0,0,8,1,LOW,"[""the incident ended and everyone is safe""]",resolved,third_party_local,"[""entrapment context""]",[],false,synthetic_proposed,author_037,event_00761,scenario_03044,synthetic_source_a,session_28,group_03044,family_crowd_01,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03045,This happened before at behind the school: the storm last month damaged the roof. It was early this morning in the north side; our phones are unreliable.,this happened before at behind the school: the storm last month damaged the roof. it was early this morning in the north side; our phones are unreliable.,en,0,0,0,0,5,2,LOW,"[""the storm last month damaged the roof""]",historical,first_person,[],[],false,synthetic_proposed,author_038,event_00761,scenario_03045,synthetic_source_a,session_00,group_03045,family_utility_02,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03046,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was during the morning in the north side; our phones are unreliable.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was during the morning in the north side; our phones are unreliable.",en,0,1,0,0,15,2,LOW,"[""the exercise asks us to imagine a rescue""]",future,first_person,"[""entrapment context""]",[],false,synthetic_proposed,author_039,event_00761,scenario_03046,synthetic_source_a,session_01,group_03046,family_flood_03,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03047,The local channel says the local channel reports a fire downtown at by the river. It was around noon in the north side; our phones are unreliable.,the local channel says the local channel reports a fire downtown at by the river. it was around noon in the north side; our phones are unreliable.,en,0,0,0,0,4,2,LOW,"[""the local channel reports a fire downtown""]",current,news_report,[],[],false,synthetic_proposed,author_040,event_00761,scenario_03047,synthetic_source_a,session_02,group_03047,family_fire_04,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03048,"From at the apartment block, I can report: a person is trapped but trained responders are already reaching them. It was after lunch in the north side; our phones are unreliable. Please advise when you can.","from at the apartment block, i can report: a person is trapped but trained responders are already reaching them. it was after lunch in the north side; our phones are unreliable. please advise when you can.",en,0,1,0,1,1,3,CRITICAL,"[""a person is trapped but trained responders are already reaching them""]",current,third_party_local,"[""entrapment context""]",[],true,synthetic_proposed,author_041,event_00762,scenario_03048,synthetic_source_a,session_03,group_03048,family_medical_05,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03049,The situation at near the station is a person is trapped inside and smoke is filling the room. It was in the afternoon in the north side; our phones are unreliable. No one here can handle it alone.,the situation at near the station is a person is trapped inside and smoke is filling the room. it was in the afternoon in the north side; our phones are unreliable. no one here can handle it alone.,en,0,1,1,0,9,5,CRITICAL,"[""a person is trapped inside and smoke is filling the room""]",current,first_person,"[""immediate threat"", ""entrapment context"", ""worsening condition""]",[],true,synthetic_proposed,author_042,event_00762,scenario_03049,synthetic_source_a,session_04,group_03049,family_collapse_06,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03050,We are calling about outside the clinic; one person has a small injury and can walk. It was near sunset in the north side; our phones are unreliable. Please send assistance.,we are calling about outside the clinic; one person has a small injury and can walk. it was near sunset in the north side; our phones are unreliable. please send assistance.,en,1,0,0,0,7,2,HIGH,"[""one person has a small injury and can walk""]",current,first_person,"[""minor injury""]",[],false,synthetic_proposed,author_043,event_00762,scenario_03050,synthetic_source_a,session_05,group_03050,family_storm_07,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03051,"At in our neighborhood, the message is simple: one person has severe bleeding and is becoming weak. It was this evening in the north side; our phones are unreliable. We need responders.","at in our neighborhood, the message is simple: one person has severe bleeding and is becoming weak. it was this evening in the north side; our phones are unreliable. we need responders.",en,1,0,0,1,8,2,CRITICAL,"[""one person has severe bleeding and is becoming weak""]",current,household,"[""immediate threat"", ""severe injury""]",[],true,synthetic_proposed,author_044,event_00762,scenario_03051,synthetic_source_a,session_06,group_03051,family_road_08,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03052,Update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. It was after dark in the north side; our phones are unreliable.,update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. it was after dark in the north side; our phones are unreliable.,en,0,0,1,0,14,4,LOW,"[""the fire was contained and no one needs help""]",resolved,third_party_local,[],[],false,synthetic_proposed,author_045,event_00763,scenario_03052,synthetic_source_a,session_07,group_03052,family_water_09,,,unreviewed,synthetic data; not human verified,train,,,
PV4_03053,A resident near behind the school says smoke is near several homes but residents have a clear way out. It was overnight in the north side; our phones are unreliable. I do not know what to do.,a resident near behind the school says smoke is near several homes but residents have a clear way out. it was overnight in the north side; our phones are unreliable. i do not know what to do.,en,0,0,1,0,9,1,HIGH,"[""smoke is near several homes but residents have a clear way out""]",current,third_party_local,"[""worsening condition""]",[],false,synthetic_proposed,author_046,event_00763,scenario_03053,synthetic_source_a,session_08,group_03053,family_missing_10,,,unreviewed,synthetic data; not human verified,train,,,
