example_id,message,normalized_message,language,injured,trapped,fire,medical_emergency,people_affected,urgency,detailed_annotation_label,operational_outcome,temporal_status,perspective,evidence_spans,ambiguity_reason,provenance,author_id,event_id,scenario_id,source_id,collection_session_id,paraphrase_group_id,template_family_id,annotator_id,second_reviewer_id,adjudication_status,review_reason,split,minimal_pair_id,minimal_pair_role,minimal_pair_changed_fact,missing_information_flags
RV3_00010,"Please record this location, on the east road, and this fact: water is rising around homes and people can still reach the road. It was during the first watch in the north side; the route remains open. Please advise when you can.","please record this location, on the east road, and this fact: water is rising around homes and people can still reach the road. it was during the first watch in the north side; the route remains open. please advise when you can.",en,0,0,0,0,11,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""water is rising around homes and people can still reach the road""]",,synthetic_proposed,author_010,event_00002,scenario_00010,synthetic_source_a,session_10,group_00010,family_flood_10,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00011,"Our group is at by the river, where water is rising and we cannot get out of the upper floor. It was at shift change in the north side; the route remains open. No one here can handle it alone.","our group is at by the river, where water is rising and we cannot get out of the upper floor. it was at shift change in the north side; the route remains open. no one here can handle it alone.",en,0,1,1,0,15,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""water is rising and we cannot get out of the upper floor""]",,synthetic_proposed,author_011,event_00002,scenario_00011,synthetic_source_a,session_11,group_00011,family_fire_11,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00012,I am reporting this from at the apartment block: the road is blocked by branches but nobody is hurt. It was before the rain in the north side; the route remains open. Please send assistance.,i am reporting this from at the apartment block: the road is blocked by branches but nobody is hurt. it was before the rain in the north side; the route remains open. please send assistance.,en,0,0,0,1,7,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""the road is blocked by branches but nobody is hurt""]",,synthetic_proposed,author_012,event_00003,scenario_00012,synthetic_source_a,session_12,group_00012,family_medical_12,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00013,Please note that the homes are unsafe and families need to leave before the storm worsens at near the station. It was after the warning in the north side; the route remains open. We need responders.,please note that the homes are unsafe and families need to leave before the storm worsens at near the station. it was after the warning in the north side; the route remains open. we need responders.,en,0,0,0,0,3,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""the homes are unsafe and families need to leave before the storm worsens""]",,synthetic_proposed,author_013,event_00003,scenario_00013,synthetic_source_a,session_13,group_00013,family_collapse_13,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00014,Our update from outside the clinic is that someone is down near the old bridge. It was while traffic was light in the north side; the route remains open. Can anyone check this?,our update from outside the clinic is that someone is down near the old bridge. it was while traffic was light in the north side; the route remains open. can anyone check this?,en,0,0,0,0,2,5,AMBIGUOUS_REVIEW,REVIEW,current,third_party_local,"[""someone is down near the old bridge""]",condition; time,synthetic_proposed,author_014,event_00003,scenario_00014,synthetic_source_a,session_14,group_00014,family_storm_14,,,unreviewed,synthetic data; not human verified,validation,,,,"[""condition"", ""time""]"
RV3_00015,Can someone respond to in our neighborhood? We have we need a ride out. It was during school hours in the north side; the route remains open. I do not know what to do.,can someone respond to in our neighborhood? we have we need a ride out. it was during school hours in the north side; the route remains open. i do not know what to do.,en,0,0,0,0,4,1,AMBIGUOUS_REVIEW,REVIEW,current,third_party_local,"[""we need a ride out""]",location; hazard; time,synthetic_proposed,author_015,event_00003,scenario_00015,synthetic_source_a,session_15,group_00015,family_road_15,,,unreviewed,synthetic data; not human verified,train,,,,"[""location"", ""hazard"", ""time""]"
RV3_00016,This happened before at behind the school: the storm last month damaged the roof. It was after the power returned in the north side; the route remains open.,this happened before at behind the school: the storm last month damaged the roof. it was after the power returned in the north side; the route remains open.,en,0,0,0,0,10,2,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,historical,first_person,"[""the storm last month damaged the roof""]",,synthetic_proposed,author_016,event_00004,scenario_00016,synthetic_source_a,session_16,group_00016,family_missing_16,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00017,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was as the wind increased in the north side; the route remains open.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was as the wind increased in the north side; the route remains open.",en,0,1,0,0,10,2,DRILL_HYPOTHETICAL_OR_FICTIONAL,NOT_RELEVANT,future,third_party_local,"[""the exercise asks us to imagine a rescue""]",,synthetic_proposed,author_017,event_00004,scenario_00017,synthetic_source_a,session_17,group_00017,family_crowd_00,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00018,The local channel says the local channel reports a fire downtown at by the river. It was while the tide came in in the north side; the route remains open.,the local channel says the local channel reports a fire downtown at by the river. it was while the tide came in in the north side; the route remains open.,en,0,0,0,0,10,2,NEWS_OR_THIRD_PARTY_REPORT,NOT_RELEVANT,current,news_report,"[""the local channel reports a fire downtown""]",,synthetic_proposed,author_018,event_00004,scenario_00018,synthetic_source_a,session_18,group_00018,family_utility_01,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00019,For responders near at the apartment block: a person is trapped but trained responders are already reaching them. It was before responders arrived in the north side; the route remains open. Can anyone check this?,for responders near at the apartment block: a person is trapped but trained responders are already reaching them. it was before responders arrived in the north side; the route remains open. can anyone check this?,en,0,1,0,0,8,3,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""a person is trapped but trained responders are already reaching them""]",,synthetic_proposed,author_019,event_00004,scenario_00019,synthetic_source_a,session_19,group_00019,family_flood_02,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00020,A resident near near the station says a person is trapped inside and smoke is filling the room. It was after neighbors gathered in the north side; the route remains open. I do not know what to do.,a resident near near the station says a person is trapped inside and smoke is filling the room. it was after neighbors gathered in the north side; the route remains open. i do not know what to do.,en,0,1,1,0,16,4,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""a person is trapped inside and smoke is filling the room""]",,synthetic_proposed,author_020,event_00005,scenario_00020,synthetic_source_a,session_20,group_00020,family_fire_03,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00021,"Please record this location, outside the clinic, and this fact: one person has a small injury and can walk. It was during the road closure in the north side; the route remains open. Please advise when you can.","please record this location, outside the clinic, and this fact: one person has a small injury and can walk. it was during the road closure in the north side; the route remains open. please advise when you can.",en,1,0,0,1,18,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""one person has a small injury and can walk""]",,synthetic_proposed,author_021,event_00005,scenario_00021,synthetic_source_a,session_21,group_00021,family_medical_04,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00022,"Our group is at in our neighborhood, where one person has severe bleeding and is becoming weak. It was while we waited in the north side; the route remains open. No one here can handle it alone.","our group is at in our neighborhood, where one person has severe bleeding and is becoming weak. it was while we waited in the north side; the route remains open. no one here can handle it alone.",en,1,0,0,1,10,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""one person has severe bleeding and is becoming weak""]",,synthetic_proposed,author_022,event_00005,scenario_00022,synthetic_source_a,session_22,group_00022,family_collapse_05,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00023,Update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. It was before dawn in the north side; the nearest clinic is far away.,update from near the bridge: the fire was contained and no one needs help; no assistance is needed now. it was before dawn in the north side; the nearest clinic is far away.,en,0,0,1,0,5,4,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,resolved,household,"[""the fire was contained and no one needs help""]",,synthetic_proposed,author_023,event_00005,scenario_00023,synthetic_source_a,session_23,group_00023,family_storm_06,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00024,Please note that smoke is near several homes but residents have a clear way out at behind the school. It was early this morning in the north side; the nearest clinic is far away. We need responders.,please note that smoke is near several homes but residents have a clear way out at behind the school. it was early this morning in the north side; the nearest clinic is far away. we need responders.,en,0,0,1,0,2,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""smoke is near several homes but residents have a clear way out""]",,synthetic_proposed,author_024,event_00006,scenario_00024,synthetic_source_a,session_24,group_00024,family_road_07,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00025,Our update from on the east road is that water is rising around homes and people can still reach the road. It was during the morning in the north side; the nearest clinic is far away. Can anyone check this?,our update from on the east road is that water is rising around homes and people can still reach the road. it was during the morning in the north side; the nearest clinic is far away. can anyone check this?,en,0,0,0,0,18,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""water is rising around homes and people can still reach the road""]",,synthetic_proposed,author_025,event_00006,scenario_00025,synthetic_source_a,session_25,group_00025,family_water_08,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00026,Can someone respond to by the river? We have water is rising and we cannot get out of the upper floor. It was around noon in the north side; the nearest clinic is far away. I do not know what to do.,can someone respond to by the river? we have water is rising and we cannot get out of the upper floor. it was around noon in the north side; the nearest clinic is far away. i do not know what to do.,en,0,1,0,0,5,5,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""water is rising and we cannot get out of the upper floor""]",,synthetic_proposed,author_026,event_00006,scenario_00026,synthetic_source_a,session_26,group_00026,family_missing_09,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00027,"From at the apartment block, I can report: the road is blocked by branches but nobody is hurt. It was after lunch in the north side; the nearest clinic is far away. Please advise when you can.","from at the apartment block, i can report: the road is blocked by branches but nobody is hurt. it was after lunch in the north side; the nearest clinic is far away. please advise when you can.",en,0,0,0,0,4,4,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""the road is blocked by branches but nobody is hurt""]",,synthetic_proposed,author_027,event_00006,scenario_00027,synthetic_source_a,session_27,group_00027,family_crowd_10,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00028,The situation at near the station is the homes are unsafe and families need to leave before the storm worsens. It was in the afternoon in the north side; the nearest clinic is far away. No one here can handle it alone.,the situation at near the station is the homes are unsafe and families need to leave before the storm worsens. it was in the afternoon in the north side; the nearest clinic is far away. no one here can handle it alone.,en,0,0,0,0,5,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""the homes are unsafe and families need to leave before the storm worsens""]",,synthetic_proposed,author_028,event_00007,scenario_00028,synthetic_source_a,session_28,group_00028,family_utility_11,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00029,We are calling about outside the clinic; someone is down near the old bridge. It was near sunset in the north side; the nearest clinic is far away. Please send assistance.,we are calling about outside the clinic; someone is down near the old bridge. it was near sunset in the north side; the nearest clinic is far away. please send assistance.,en,0,0,0,0,14,3,AMBIGUOUS_REVIEW,REVIEW,current,first_person,"[""someone is down near the old bridge""]",condition; time,synthetic_proposed,author_029,event_00007,scenario_00029,synthetic_source_a,session_00,group_00029,family_flood_12,,,unreviewed,synthetic data; not human verified,validation,,,,"[""condition"", ""time""]"
RV3_00030,"At in our neighborhood, the message is simple: we need a ride out. It was this evening in the north side; the nearest clinic is far away. We need responders.","at in our neighborhood, the message is simple: we need a ride out. it was this evening in the north side; the nearest clinic is far away. we need responders.",en,0,0,1,0,4,1,AMBIGUOUS_REVIEW,REVIEW,current,third_party_local,"[""we need a ride out""]",location; hazard; time,synthetic_proposed,author_030,event_00007,scenario_00030,synthetic_source_a,session_01,group_00030,family_fire_13,,,unreviewed,synthetic data; not human verified,train,,,,"[""location"", ""hazard"", ""time""]"
RV3_00031,Update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. It was after dark in the north side; the nearest clinic is far away.,update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. it was after dark in the north side; the nearest clinic is far away.,en,0,1,0,1,8,1,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,resolved,third_party_local,"[""the incident ended and everyone is safe""]",,synthetic_proposed,author_031,event_00007,scenario_00031,synthetic_source_a,session_02,group_00031,family_medical_14,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00032,This happened before at behind the school: the storm last month damaged the roof. It was overnight in the north side; the nearest clinic is far away.,this happened before at behind the school: the storm last month damaged the roof. it was overnight in the north side; the nearest clinic is far away.,en,0,0,0,0,14,2,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,historical,third_party_local,"[""the storm last month damaged the roof""]",,synthetic_proposed,author_032,event_00008,scenario_00032,synthetic_source_a,session_03,group_00032,family_collapse_15,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00033,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was during the first watch in the north side; the nearest clinic is far away.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was during the first watch in the north side; the nearest clinic is far away.",en,0,1,0,0,8,2,DRILL_HYPOTHETICAL_OR_FICTIONAL,NOT_RELEVANT,future,first_person,"[""the exercise asks us to imagine a rescue""]",,synthetic_proposed,author_033,event_00008,scenario_00033,synthetic_source_a,session_04,group_00033,family_storm_16,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00034,The local channel says the local channel reports a fire downtown at by the river. It was at shift change in the north side; the nearest clinic is far away.,the local channel says the local channel reports a fire downtown at by the river. it was at shift change in the north side; the nearest clinic is far away.,en,0,0,0,0,3,2,NEWS_OR_THIRD_PARTY_REPORT,NOT_RELEVANT,current,news_report,"[""the local channel reports a fire downtown""]",,synthetic_proposed,author_034,event_00008,scenario_00034,synthetic_source_a,session_05,group_00034,family_road_00,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00035,I am reporting this from at the apartment block: a person is trapped but trained responders are already reaching them. It was before the rain in the north side; the nearest clinic is far away. Please send assistance.,i am reporting this from at the apartment block: a person is trapped but trained responders are already reaching them. it was before the rain in the north side; the nearest clinic is far away. please send assistance.,en,0,1,0,0,4,3,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""a person is trapped but trained responders are already reaching them""]",,synthetic_proposed,author_035,event_00008,scenario_00035,synthetic_source_a,session_06,group_00035,family_water_01,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00036,Please note that a person is trapped inside and smoke is filling the room at near the station. It was after the warning in the north side; the nearest clinic is far away. We need responders.,please note that a person is trapped inside and smoke is filling the room at near the station. it was after the warning in the north side; the nearest clinic is far away. we need responders.,en,0,1,1,0,14,4,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""a person is trapped inside and smoke is filling the room""]",,synthetic_proposed,author_036,event_00009,scenario_00036,synthetic_source_a,session_07,group_00036,family_missing_02,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00037,Our update from outside the clinic is that one person has a small injury and can walk. It was while traffic was light in the north side; the nearest clinic is far away. Can anyone check this?,our update from outside the clinic is that one person has a small injury and can walk. it was while traffic was light in the north side; the nearest clinic is far away. can anyone check this?,en,1,0,0,0,5,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""one person has a small injury and can walk""]",,synthetic_proposed,author_037,event_00009,scenario_00037,synthetic_source_a,session_08,group_00037,family_crowd_03,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00038,Can someone respond to in our neighborhood? We have one person has severe bleeding and is becoming weak. It was during school hours in the north side; the nearest clinic is far away. I do not know what to do.,can someone respond to in our neighborhood? we have one person has severe bleeding and is becoming weak. it was during school hours in the north side; the nearest clinic is far away. i do not know what to do.,en,1,0,0,1,4,4,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""one person has severe bleeding and is becoming weak""]",,synthetic_proposed,author_038,event_00009,scenario_00038,synthetic_source_a,session_09,group_00038,family_utility_04,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00039,The situation at behind the school is smoke is near several homes but residents have a clear way out. It was after the power returned in the north side; the nearest clinic is far away. No one here can handle it alone.,the situation at behind the school is smoke is near several homes but residents have a clear way out. it was after the power returned in the north side; the nearest clinic is far away. no one here can handle it alone.,en,0,0,1,0,13,4,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""smoke is near several homes but residents have a clear way out""]",,synthetic_proposed,author_039,event_00009,scenario_00039,synthetic_source_a,session_10,group_00039,family_fire_05,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00040,We are calling about on the east road; water is rising around homes and people can still reach the road. It was as the wind increased in the north side; the nearest clinic is far away. Please send assistance.,we are calling about on the east road; water is rising around homes and people can still reach the road. it was as the wind increased in the north side; the nearest clinic is far away. please send assistance.,en,0,0,0,1,2,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,third_party_local,"[""water is rising around homes and people can still reach the road""]",,synthetic_proposed,author_040,event_00010,scenario_00040,synthetic_source_a,session_11,group_00040,family_medical_06,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00041,"At by the river, the message is simple: water is rising and we cannot get out of the upper floor. It was while the tide came in in the north side; the nearest clinic is far away. We need responders.","at by the river, the message is simple: water is rising and we cannot get out of the upper floor. it was while the tide came in in the north side; the nearest clinic is far away. we need responders.",en,0,1,0,0,9,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""water is rising and we cannot get out of the upper floor""]",,synthetic_proposed,author_041,event_00010,scenario_00041,synthetic_source_a,session_12,group_00041,family_collapse_07,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00042,For responders near at the apartment block: the road is blocked by branches but nobody is hurt. It was before responders arrived in the north side; the nearest clinic is far away. Can anyone check this?,for responders near at the apartment block: the road is blocked by branches but nobody is hurt. it was before responders arrived in the north side; the nearest clinic is far away. can anyone check this?,en,0,0,0,0,9,1,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,first_person,"[""the road is blocked by branches but nobody is hurt""]",,synthetic_proposed,author_042,event_00010,scenario_00042,synthetic_source_a,session_13,group_00042,family_storm_08,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00043,A resident near near the station says the homes are unsafe and families need to leave before the storm worsens. It was after neighbors gathered in the north side; the nearest clinic is far away. I do not know what to do.,a resident near near the station says the homes are unsafe and families need to leave before the storm worsens. it was after neighbors gathered in the north side; the nearest clinic is far away. i do not know what to do.,en,0,0,0,0,16,2,ACTIONABLE_CURRENT_EMERGENCY,RELEVANT,current,household,"[""the homes are unsafe and families need to leave before the storm worsens""]",,synthetic_proposed,author_043,event_00010,scenario_00043,synthetic_source_a,session_14,group_00043,family_road_09,,,unreviewed,synthetic data; not human verified,validation,,,,[]
RV3_00044,"Please record this location, outside the clinic, and this fact: someone is down near the old bridge. It was during the road closure in the north side; the nearest clinic is far away. Please advise when you can.","please record this location, outside the clinic, and this fact: someone is down near the old bridge. it was during the road closure in the north side; the nearest clinic is far away. please advise when you can.",en,0,0,0,0,2,2,AMBIGUOUS_REVIEW,REVIEW,current,third_party_local,"[""someone is down near the old bridge""]",condition; time,synthetic_proposed,author_044,event_00011,scenario_00044,synthetic_source_a,session_15,group_00044,family_water_10,,,unreviewed,synthetic data; not human verified,validation,,,,"[""condition"", ""time""]"
RV3_00045,"Our group is at in our neighborhood, where we need a ride out. It was while we waited in the north side; the nearest clinic is far away. No one here can handle it alone.","our group is at in our neighborhood, where we need a ride out. it was while we waited in the north side; the nearest clinic is far away. no one here can handle it alone.",en,0,0,0,0,5,3,AMBIGUOUS_REVIEW,REVIEW,current,third_party_local,"[""we need a ride out""]",location; hazard; time,synthetic_proposed,author_045,event_00011,scenario_00045,synthetic_source_a,session_16,group_00045,family_missing_11,,,unreviewed,synthetic data; not human verified,validation,,,,"[""location"", ""hazard"", ""time""]"
RV3_00046,Update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. It was before dawn in the north side; our phones are unreliable.,update from near the bridge: the incident ended and everyone is safe; no assistance is needed now. it was before dawn in the north side; our phones are unreliable.,en,0,1,0,0,13,1,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,resolved,first_person,"[""the incident ended and everyone is safe""]",,synthetic_proposed,author_046,event_00011,scenario_00046,synthetic_source_a,session_17,group_00046,family_crowd_12,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00047,This happened before at behind the school: the storm last month damaged the roof. It was early this morning in the north side; our phones are unreliable.,this happened before at behind the school: the storm last month damaged the roof. it was early this morning in the north side; our phones are unreliable.,en,0,0,0,0,14,2,HISTORICAL_RESOLVED_OR_NO_LONGER_ACTIVE,NOT_RELEVANT,historical,third_party_local,"[""the storm last month damaged the roof""]",,synthetic_proposed,author_047,event_00011,scenario_00047,synthetic_source_a,session_18,group_00047,family_utility_13,,,unreviewed,synthetic data; not human verified,train,,,,[]
RV3_00048,"For the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. It was during the morning in the north side; our phones are unreliable.","for the exercise, imagine this at on the east road: the exercise asks us to imagine a rescue. it was during the morning in the north side; our phones are unreliable.",en,0,1,0,0,3,2,DRILL_HYPOTHETICAL_OR_FICTIONAL,NOT_RELEVANT,future,household,"[""the exercise asks us to imagine a rescue""]",,synthetic_proposed,author_048,event_00012,scenario_00048,synthetic_source_a,session_19,group_00048,family_flood_14,,,unreviewed,synthetic data; not human verified,test,,,,[]
RV3_00049,The local channel says the local channel reports a fire downtown at by the river. It was around noon in the north side; our phones are unreliable.,the local channel says the local channel reports a fire downtown at by the river. it was around noon in the north side; our phones are unreliable.,en,0,0,0,0,11,2,NEWS_OR_THIRD_PARTY_REPORT,NOT_RELEVANT,current,news_report,"[""the local channel reports a fire downtown""]",,synthetic_proposed,author_049,event_00012,scenario_00049,synthetic_source_a,session_20,group_00049,family_fire_15,,,unreviewed,synthetic data; not human verified,train,,,,[]
