text,label,group_id
The health guide explains that some people cannot breathe properly,not_relevant,pair-081
there is a fire drill at school this afternoon,relevant,pair-082
The school fire drill was completed without problems,not_relevant,pair-082
help me carry these books for homework,relevant,pair-083
Can you help me with my homework tonight,not_relevant,pair-083
my charger is broken and I need help finding one,relevant,pair-084
Customer support can help find a phone charger,not_relevant,pair-084
happy birthday to my brother hope you have fun,relevant,pair-085
Happy birthday to everyone in the group,not_relevant,pair-085
the bridge fell and we cannot reach the town,relevant,pair-086
The bridge was closed for repairs but traffic used another route,not_relevant,pair-086
I saw a rescue helicopter while watching television,relevant,pair-087
A rescue helicopter appeared in the documentary,not_relevant,pair-087
the weather is lovely and the roads are clear,relevant,pair-088
The weather forecast says the roads will be clear,not_relevant,pair-088
my sister is locked inside and calling for help,relevant,pair-089
The game asks players to unlock a sister's room,not_relevant,pair-089
smoke is entering our apartment and we need out,relevant,pair-090
The movie shows smoke entering an apartment,not_relevant,pair-090
the river is around the house and still rising,relevant,pair-091
A documentary shows a river around a house,not_relevant,pair-091
I am stuck in traffic but everyone is safe,relevant,pair-092
The driver was stuck in traffic for ten minutes,not_relevant,pair-092
my grandmother fell and cannot get up,relevant,pair-093
The actress fell during rehearsal and got up safely,not_relevant,pair-093
the building is shaking and the ceiling is cracking,relevant,pair-094
The building shook during a controlled engineering test,not_relevant,pair-094
please send help our only exit is blocked,relevant,pair-095
The website explains how emergency exits are inspected,not_relevant,pair-095
we need an ambulance for my child right now,relevant,pair-096
The clinic article describes when children need ambulances,not_relevant,pair-096
the news says a fire happened in another city,relevant,pair-097
The news report discussed a fire that was contained yesterday,not_relevant,pair-097
"I need help right now, the ceiling is coming down",relevant,pair-098
I need help choosing a color for my bedroom,not_relevant,pair-098
the water is at our knees and rising fast,relevant,pair-099
The swimming pool water is at my knees,not_relevant,pair-099
"please get here, my sister is trapped behind the door",relevant,pair-100
The video game says my sister is trapped behind a door,not_relevant,pair-100
our street vanished under mud and we are still here,relevant,pair-101
The travel article describes a street covered in mud,not_relevant,pair-101
I am coughing and the room is full of smoke,relevant,pair-102
The chef says the room was full of smoke while cooking,not_relevant,pair-102
my son is injured and there is no car to take him,relevant,pair-103
My son was injured in a match and returned to school,not_relevant,pair-103
we cannot leave because the flames are outside,relevant,pair-104
The lesson explains why flames spread outside a building,not_relevant,pair-104
someone in this house is unconscious,relevant,pair-105
The television episode had an unconscious person,not_relevant,pair-105
I have been calling but nobody can reach us,relevant,pair-106
The phone company says callers could not reach the office,not_relevant,pair-106
the road is gone and our vehicle cannot move,relevant,pair-107
The road is gone for construction next week,not_relevant,pair-107
there is no safe way down from this roof,relevant,pair-108
The building guide describes a safe way down from a roof,not_relevant,pair-108
my chest hurts and I am alone here,relevant,pair-109
The doctor wrote about chest pain in a general guide,not_relevant,pair-109
we are surrounded by floodwater and need a boat,relevant,pair-110
The harbor rents boats for floodwater photography,not_relevant,pair-110
the alarm is sounding and I can see flames,relevant,pair-111
The alarm sounded during a planned test,not_relevant,pair-111
I fell hard and cannot stand,relevant,pair-112
The actor fell hard during a stunt and stood afterward,not_relevant,pair-112
send help to the house at the end of the road,relevant,pair-113
The help page gives directions to the house at the end of the road,not_relevant,pair-113
the elevator stopped and there are children inside,relevant,pair-114
The elevator stopped briefly during maintenance,not_relevant,pair-114
I am lost in the smoke and cannot find my door,relevant,pair-115
The magician lost a prop in stage smoke,not_relevant,pair-115
"we need to leave now, the river reached the stairs",relevant,pair-116
The river reached the stairs in a photograph,not_relevant,pair-116
"please call an ambulance, my mother is not responding",relevant,pair-117
The ambulance service wrote an informational article,not_relevant,pair-117
there is debris across the entrance and we are inside,relevant,pair-118
The cleanup crew moved debris across the entrance,not_relevant,pair-118
the storm is breaking windows while we are indoors,relevant,pair-119
The weather report says the storm broke windows yesterday,not_relevant,pair-119
my breathing is getting worse and I need a doctor,relevant,pair-120
The medical article explains why breathing can get worse,not_relevant,pair-120
I cannot open the door and smoke is coming under it,relevant,pair-121
The escape-room puzzle has smoke coming under a door,not_relevant,pair-121
the hillside collapsed beside us and we are cut off,relevant,pair-122
The geography lesson describes a hillside that collapsed,not_relevant,pair-122
