id,message,priority_label,disaster_type,injured,trapped,fire,medical_emergency,people_affected,urgency,scenario_family,event_id,source_type,annotation_reason,language,split
rpv3-00216,Flood report: Moderate damage affects the area; residents need a welfare check and basic assistance. by the river. This is the latest update.,MEDIUM,flood,0,0,0,0,8,4,damage,v3_flood_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,train
rpv3-00240,"Flood report: Several people need water and supplies, but everyone is safe for now. by the river. No other details are available.",MEDIUM,flood,0,0,0,0,15,1,supplies,v3_flood_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-00530,Resident says: Earthquake report: A serious but stable injury needs prompt treatment; the person is conscious. at the apartment block. This is the latest update.,HIGH,earthquake,1,0,0,1,1,4,injury,v3_earthquake_high_02,controlled_synthetic_v3,V3 policy example; injury scenario with contextual rescue urgency.,en,train
rpv3-02402,Resident says: Transportation report: People are trapped and cannot escape; immediate rescue is required. by the river. Please advise.,CRITICAL,transportation,1,1,0,0,5,5,trapped,v3_transportation_critical_01,controlled_synthetic_v3,V3 policy example; trapped scenario with contextual rescue urgency.,en,test
rpv3-00185,Please help: Flood report: An active hazard threatens the neighborhood and an evacuation team should respond soon. near the market. No other details are available.,HIGH,flood,0,0,1,0,12,4,hazard,v3_flood_high_05,controlled_synthetic_v3,V3 policy example; hazard scenario with contextual rescue urgency.,en,train
rpv3-02342,Resident says: Industrial report: The preparedness drill finished normally and this is not an active emergency. in the north district. Send the appropriate team.,LOW,industrial,0,0,0,0,0,5,drill,v3_industrial_low_03,controlled_synthetic_v3,V3 policy example; drill scenario with contextual rescue urgency.,en,train
rpv3-03962,Resident says: Other report: A small incident is contained; everyone is accounted for and safe. along the main road.,LOW,other,0,0,1,0,2,3,contained,v3_other_low_04,controlled_synthetic_v3,V3 policy example; contained scenario with contextual rescue urgency.,en,train
rpv3-01347,"Please help: Wildfire report: Several households need urgent shelter after the incident, with no one trapped. in the north district. This is the latest update.",HIGH,wildfire,0,0,0,0,24,2,shelter,v3_wildfire_high_03,controlled_synthetic_v3,V3 policy example; shelter scenario with contextual rescue urgency.,en,train
rpv3-03582,Dispatch note: Societal report: The forecast is being monitored from a safe place; no response is requested. near the school. No other details are available.,LOW,societal,0,0,0,0,0,1,forecast,v3_societal_low_05,controlled_synthetic_v3,V3 policy example; forecast scenario with contextual rescue urgency.,en,train
rpv3-02683,"Resident says: At this location, transportation report: A local outage is affecting residents who need routine community support. at the apartment block.",MEDIUM,transportation,0,0,0,0,20,4,power,v3_transportation_medium_05,controlled_synthetic_v3,V3 policy example; power scenario with contextual rescue urgency.,en,train
rpv3-01286,"Dispatch note: At this location, wildfire report: A child is missing in the disaster area and an urgent search and rescue is needed. near the school.",CRITICAL,wildfire,0,0,0,0,1,4,missing,v3_wildfire_critical_05,controlled_synthetic_v3,V3 policy example; missing scenario with contextual rescue urgency.,en,train
rpv3-00874,Resident says: Hurricane report: A fast-moving fire has people trapped inside and crews are needed without delay. along the main road.,CRITICAL,hurricane,0,1,1,0,6,5,fire,v3_hurricane_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-02299,Please help: Industrial report: A local outage is affecting residents who need routine community support. near the school. Please advise.,MEDIUM,industrial,0,0,0,0,20,5,power,v3_industrial_medium_05,controlled_synthetic_v3,V3 policy example; power scenario with contextual rescue urgency.,en,test
rpv3-00115,"Please help: At this location, flood report: Damage has made several homes unsafe and families need urgent evacuation support. at the apartment block. Send the appropriate team.",HIGH,flood,0,0,0,0,18,4,evacuation,v3_flood_high_01,controlled_synthetic_v3,V3 policy example; evacuation scenario with contextual rescue urgency.,en,validation
rpv3-01052,"Caller reports: At this location, hurricane report: Debris is blocking a local road and a maintenance response is needed. at the apartment block. This is the latest update.",MEDIUM,hurricane,0,0,0,0,4,5,road,v3_hurricane_medium_03,controlled_synthetic_v3,V3 policy example; road scenario with contextual rescue urgency.,en,train
rpv3-01278,"Dispatch note: At this location, wildfire report: A fast-moving fire has people trapped inside and crews are needed without delay. in the north district.",CRITICAL,wildfire,0,1,1,0,6,5,fire,v3_wildfire_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-02379,Please help: Industrial report: A small incident is contained; everyone is accounted for and safe. in the north district. This is the latest update.,LOW,industrial,0,0,1,0,2,2,contained,v3_industrial_low_04,controlled_synthetic_v3,V3 policy example; contained scenario with contextual rescue urgency.,en,train
rpv3-02861,Field update: Biological report: A fast-moving fire has people trapped inside and crews are needed without delay. at the apartment block. Send the appropriate team.,CRITICAL,biological,0,1,1,0,6,2,fire,v3_biological_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-01823,"Please help: At this location, tornado report: Several people need water and supplies, but everyone is safe for now. at the apartment block. Please advise.",MEDIUM,tornado,0,0,0,0,15,5,supplies,v3_tornado_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-01998,"Please help: At this location, tornado report: The forecast is being monitored from a safe place; no response is requested. in the north district. Send the appropriate team.",LOW,tornado,0,0,0,0,0,3,forecast,v3_tornado_low_05,controlled_synthetic_v3,V3 policy example; forecast scenario with contextual rescue urgency.,en,validation
rpv3-01437,"Please help: Wildfire report: Several people need water and supplies, but everyone is safe for now. near the school. Please advise.",MEDIUM,wildfire,0,0,0,0,15,2,supplies,v3_wildfire_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-01240,Resident says: Wildfire report: A person is unconscious with severe injuries and requires emergency medical help now. along the main road. No other details are available.,CRITICAL,wildfire,1,0,0,1,1,3,medical,v3_wildfire_critical_02,controlled_synthetic_v3,V3 policy example; medical scenario with contextual rescue urgency.,en,train
rpv3-02633,"Caller reports: Transportation report: Several people need water and supplies, but everyone is safe for now. at the apartment block. No other details are available.",MEDIUM,transportation,0,0,0,0,15,1,supplies,v3_transportation_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-03121,Resident says: Biological report: This is a news update about the disaster; there is no emergency here. along the main road. Please advise.,LOW,biological,0,0,0,0,0,1,news,v3_biological_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,train
rpv3-01560,Dispatch note: Wildfire report: The preparedness drill finished normally and this is not an active emergency. by the river. No other details are available.,LOW,wildfire,0,0,0,0,0,1,drill,v3_wildfire_low_03,controlled_synthetic_v3,V3 policy example; drill scenario with contextual rescue urgency.,en,test
rpv3-01935,"Please help: At this location, tornado report: This is a news update about the disaster; there is no emergency here. along the main road. Send the appropriate team.",LOW,tornado,0,0,0,0,0,2,news,v3_tornado_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,train
rpv3-03184,Field update: Biological report: The forecast is being monitored from a safe place; no response is requested. along the main road.,LOW,biological,0,0,0,0,0,1,forecast,v3_biological_low_05,controlled_synthetic_v3,V3 policy example; forecast scenario with contextual rescue urgency.,en,train
rpv3-01924,Tornado report: This is a news update about the disaster; there is no emergency here. near the school. This is the latest update.,LOW,tornado,0,0,0,0,0,5,news,v3_tornado_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,train
rpv3-01093,Resident says: Hurricane report: A local outage is affecting residents who need routine community support. at the apartment block. This is the latest update.,MEDIUM,hurricane,0,0,0,0,20,4,power,v3_hurricane_medium_05,controlled_synthetic_v3,V3 policy example; power scenario with contextual rescue urgency.,en,train
rpv3-00989,"Resident says: At this location, hurricane report: An active hazard threatens the neighborhood and an evacuation team should respond soon. along the main road. Please advise.",HIGH,hurricane,0,0,1,0,12,2,hazard,v3_hurricane_high_05,controlled_synthetic_v3,V3 policy example; hazard scenario with contextual rescue urgency.,en,train
rpv3-00070,Please help: Flood report: A fast-moving fire has people trapped inside and crews are needed without delay. at the apartment block.,CRITICAL,flood,0,1,1,0,6,1,fire,v3_flood_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-03080,Dispatch note: Biological report: One person has a stable minor injury and can wait for non-urgent medical assistance. in the north district. This is the latest update.,MEDIUM,biological,1,0,0,1,1,1,stable,v3_biological_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-03302,Societal report: Damage has made several homes unsafe and families need urgent evacuation support. in the north district. This is the latest update.,HIGH,societal,0,0,0,0,18,2,evacuation,v3_societal_high_01,controlled_synthetic_v3,V3 policy example; evacuation scenario with contextual rescue urgency.,en,train
rpv3-02762,Resident says: Transportation report: A small incident is contained; everyone is accounted for and safe. by the river.,LOW,transportation,0,0,1,0,2,1,contained,v3_transportation_low_04,controlled_synthetic_v3,V3 policy example; contained scenario with contextual rescue urgency.,en,train
rpv3-02555,"Dispatch note: At this location, transportation report: Several households need urgent shelter after the incident, with no one trapped. by the river. Please advise.",HIGH,transportation,0,0,0,0,24,1,shelter,v3_transportation_high_03,controlled_synthetic_v3,V3 policy example; shelter scenario with contextual rescue urgency.,en,train
rpv3-03547,Field update: Societal report: The preparedness drill finished normally and this is not an active emergency. in the north district.,LOW,societal,0,0,0,0,0,1,drill,v3_societal_low_03,controlled_synthetic_v3,V3 policy example; drill scenario with contextual rescue urgency.,en,train
rpv3-00111,Resident says: Flood report: Damage has made several homes unsafe and families need urgent evacuation support. along the main road.,HIGH,flood,0,0,0,0,18,3,evacuation,v3_flood_high_01,controlled_synthetic_v3,V3 policy example; evacuation scenario with contextual rescue urgency.,en,validation
rpv3-02896,Biological report: A child is missing in the disaster area and an urgent search and rescue is needed. at the apartment block. Send the appropriate team.,CRITICAL,biological,0,0,0,0,1,5,missing,v3_biological_critical_05,controlled_synthetic_v3,V3 policy example; missing scenario with contextual rescue urgency.,en,test
rpv3-02727,Dispatch note: Transportation report: This is a news update about the disaster; there is no emergency here. in the north district. No other details are available.,LOW,transportation,0,0,0,0,0,4,news,v3_transportation_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,train
rpv3-00622,"Dispatch note: Earthquake report: Several people need water and supplies, but everyone is safe for now. in the north district.",MEDIUM,earthquake,0,0,0,0,15,4,supplies,v3_earthquake_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-00617,Please help: Earthquake report: Moderate damage affects the area; residents need a welfare check and basic assistance. near the school. This is the latest update.,MEDIUM,earthquake,0,0,0,0,8,5,damage,v3_earthquake_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,validation
rpv3-03177,Field update: Biological report: A small incident is contained; everyone is accounted for and safe. in the north district. This is the latest update.,LOW,biological,0,0,1,0,2,3,contained,v3_biological_low_04,controlled_synthetic_v3,V3 policy example; contained scenario with contextual rescue urgency.,en,train
rpv3-00599,Caller reports: Earthquake report: An active hazard threatens the neighborhood and an evacuation team should respond soon. in the north district. Send the appropriate team.,HIGH,earthquake,0,0,1,0,12,4,hazard,v3_earthquake_high_05,controlled_synthetic_v3,V3 policy example; hazard scenario with contextual rescue urgency.,en,train
rpv3-01079,Caller reports: Hurricane report: One person has a stable minor injury and can wait for non-urgent medical assistance. along the main road. Send the appropriate team.,MEDIUM,hurricane,1,0,0,1,1,1,stable,v3_hurricane_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-00843,"At this location, hurricane report: A structure has collapsed around residents; responders must start a rescue immediately. along the main road. Send the appropriate team.",CRITICAL,hurricane,1,1,0,0,8,2,collapse,v3_hurricane_critical_03,controlled_synthetic_v3,V3 policy example; collapse scenario with contextual rescue urgency.,en,train
rpv3-00873,Field update: Hurricane report: A fast-moving fire has people trapped inside and crews are needed without delay. at the apartment block.,CRITICAL,hurricane,0,1,1,0,6,2,fire,v3_hurricane_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-01233,Field update: Wildfire report: A person is unconscious with severe injuries and needs emergency medical help now. at the apartment block. Please advise.,CRITICAL,wildfire,1,0,0,1,1,3,medical,v3_wildfire_critical_02,controlled_synthetic_v3,V3 policy example; medical scenario with contextual rescue urgency.,en,train
rpv3-03629,"Dispatch note: At this location, other report: A person is unconscious with severe injuries and needs emergency medical help now. near the school. Please advise.",CRITICAL,other,1,0,0,1,1,4,medical,v3_other_critical_02,controlled_synthetic_v3,V3 policy example; medical scenario with contextual rescue urgency.,en,train
rpv3-01682,Dispatch note: Tornado report: A child is missing in the disaster area and an urgent search and rescue is needed. by the river.,CRITICAL,tornado,0,0,0,0,1,4,missing,v3_tornado_critical_05,controlled_synthetic_v3,V3 policy example; missing scenario with contextual rescue urgency.,en,train
rpv3-02850,Biological report: A structure has collapsed around residents; responders must start a rescue immediately. along the main road.,CRITICAL,biological,1,1,0,0,8,3,collapse,v3_biological_critical_03,controlled_synthetic_v3,V3 policy example; collapse scenario with contextual rescue urgency.,en,train
rpv3-01738,"At this location, tornado report: A serious but stable injury needs prompt treatment; the person is conscious. in the north district.",HIGH,tornado,1,0,0,1,1,4,injury,v3_tornado_high_02,controlled_synthetic_v3,V3 policy example; injury scenario with contextual rescue urgency.,en,train
rpv3-02629,"Field update: At this location, transportation report: Several people need water and supplies, but everyone is safe for now. in the north district.",MEDIUM,transportation,0,0,0,0,15,3,supplies,v3_transportation_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-03788,Field update: Other report: An active hazard threatens the neighborhood and an evacuation team should respond soon. near the school. No other details are available.,HIGH,other,0,0,1,0,12,3,hazard,v3_other_high_05,controlled_synthetic_v3,V3 policy example; hazard scenario with contextual rescue urgency.,en,validation
rpv3-02190,Dispatch note: Industrial report: An active hazard threatens the neighborhood and an evacuation team should respond soon. near the school. Send the appropriate team.,HIGH,industrial,0,0,1,0,12,3,hazard,v3_industrial_high_05,controlled_synthetic_v3,V3 policy example; hazard scenario with contextual rescue urgency.,en,validation
rpv3-00541,"Caller reports: Earthquake report: Several households need urgent shelter after the incident, with no one trapped. in the north district. Please advise.",HIGH,earthquake,0,0,0,0,24,4,shelter,v3_earthquake_high_03,controlled_synthetic_v3,V3 policy example; shelter scenario with contextual rescue urgency.,en,train
rpv3-03317,Resident says: Societal report: Damage has made several homes unsafe and families need urgent evacuation support. near the school. This is the latest update.,HIGH,societal,0,0,0,0,18,3,evacuation,v3_societal_high_01,controlled_synthetic_v3,V3 policy example; evacuation scenario with contextual rescue urgency.,en,train
rpv3-00748,Please help: Earthquake report: The preparedness drill finished normally and this is not an active emergency. in the north district. No other details are available.,LOW,earthquake,0,0,0,0,0,1,drill,v3_earthquake_low_03,controlled_synthetic_v3,V3 policy example; drill scenario with contextual rescue urgency.,en,validation
rpv3-03108,Resident says: Biological report: The area is safe and no one requires assistance at this location. at the apartment block. No other details are available.,LOW,biological,0,0,0,0,0,4,safe,v3_biological_low_01,controlled_synthetic_v3,V3 policy example; safe scenario with contextual rescue urgency.,en,train
rpv3-00400,Please help: Flood report: The forecast is being monitored from a safe place; no response is requested. in the north district.,LOW,flood,0,0,0,0,0,2,forecast,v3_flood_low_05,controlled_synthetic_v3,V3 policy example; forecast scenario with contextual rescue urgency.,en,train
rpv3-02126,"Please help: At this location, industrial report: A serious but stable injury needs prompt treatment; the person is conscious. along the main road. Please advise.",HIGH,industrial,1,0,0,1,1,5,injury,v3_industrial_high_02,controlled_synthetic_v3,V3 policy example; injury scenario with contextual rescue urgency.,en,train
rpv3-02468,Field update: Transportation report: A fast-moving fire has people trapped inside and crews are needed without delay. near the market.,CRITICAL,transportation,0,1,1,0,6,4,fire,v3_transportation_critical_04,controlled_synthetic_v3,V3 policy example; fire scenario with contextual rescue urgency.,en,train
rpv3-02684,Caller reports: Transportation report: A local outage is affecting residents who need routine community support. near the school. No other details are available.,MEDIUM,transportation,0,0,0,0,20,3,power,v3_transportation_medium_05,controlled_synthetic_v3,V3 policy example; power scenario with contextual rescue urgency.,en,train
rpv3-03492,"Caller reports: At this location, societal report: A local outage is affecting residents who need routine community support. along the main road. No other details are available.",MEDIUM,societal,0,0,0,0,20,1,power,v3_societal_medium_05,controlled_synthetic_v3,V3 policy example; power scenario with contextual rescue urgency.,en,train
rpv3-00454,Earthquake report: A structure has collapsed around residents; responders must start a rescue immediately. near the market.,CRITICAL,earthquake,1,1,0,0,8,3,collapse,v3_earthquake_critical_03,controlled_synthetic_v3,V3 policy example; collapse scenario with contextual rescue urgency.,en,test
rpv3-01847,Please help: Tornado report: Debris is blocking a local road and a maintenance response is needed. near the school. No other details are available.,MEDIUM,tornado,0,0,0,0,4,3,road,v3_tornado_medium_03,controlled_synthetic_v3,V3 policy example; road scenario with contextual rescue urgency.,en,test
rpv3-02201,Please help: Industrial report: Moderate damage affects the area; residents need a welfare check and basic assistance. near the market. Please advise.,MEDIUM,industrial,0,0,0,0,8,4,damage,v3_industrial_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,validation
rpv3-03810,Resident says: Other report: Moderate damage affects the area; residents need a welfare check and basic assistance. at the apartment block. No other details are available.,MEDIUM,other,0,0,0,0,8,3,damage,v3_other_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,validation
rpv3-02631,"Caller reports: Transportation report: Several people need water and supplies, but everyone is safe for now. at the apartment block. Please advise.",MEDIUM,transportation,0,0,0,0,15,5,supplies,v3_transportation_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-02619,Field update: Transportation report: Moderate damage affects the area; residents need a welfare check and basic assistance. at the apartment block. Please advise.,MEDIUM,transportation,0,0,0,0,8,3,damage,v3_transportation_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,test
rpv3-00626,"Please help: At this location, earthquake report: Several people need water and supplies, but everyone is safe for now. along the main road.",MEDIUM,earthquake,0,0,0,0,15,2,supplies,v3_earthquake_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-03873,Dispatch note: Other report: One person has a stable minor injury and can wait for non-urgent medical assistance. near the market. No other details are available.,MEDIUM,other,1,0,0,1,1,1,stable,v3_other_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-01773,Dispatch note: Tornado report: A blocked route is affecting many residents and responders should provide urgent assistance. near the school. This is the latest update.,HIGH,tornado,0,0,0,0,30,3,route,v3_tornado_high_04,controlled_synthetic_v3,V3 policy example; route scenario with contextual rescue urgency.,en,train
rpv3-01797,Dispatch note: Tornado report: An active hazard threatens the neighborhood and an evacuation team should respond soon. near the market. This is the latest update.,HIGH,tornado,0,0,1,0,12,2,hazard,v3_tornado_high_05,controlled_synthetic_v3,V3 policy example; hazard scenario with contextual rescue urgency.,en,train
rpv3-00089,"Please help: At this location, flood report: A child is missing in the disaster area and an urgent search and rescue is needed. in the north district. This is the latest update.",CRITICAL,flood,0,0,0,0,1,2,missing,v3_flood_critical_05,controlled_synthetic_v3,V3 policy example; missing scenario with contextual rescue urgency.,en,train
rpv3-02380,Field update: Industrial report: A small incident is contained; everyone is accounted for and safe. near the school. No other details are available.,LOW,industrial,0,0,1,0,2,4,contained,v3_industrial_low_04,controlled_synthetic_v3,V3 policy example; contained scenario with contextual rescue urgency.,en,train
rpv3-00290,Flood report: A local outage is affecting residents who need routine community support. near the school. Send the appropriate team.,MEDIUM,flood,0,0,0,0,20,3,power,v3_flood_medium_05,controlled_synthetic_v3,V3 policy example; power scenario with contextual rescue urgency.,en,train
rpv3-03304,Dispatch note: Societal report: Damage has made several homes unsafe and families need urgent evacuation support. along the main road.,HIGH,societal,0,0,0,0,18,2,evacuation,v3_societal_high_01,controlled_synthetic_v3,V3 policy example; evacuation scenario with contextual rescue urgency.,en,train
rpv3-02239,"Dispatch note: Industrial report: Several people need water and supplies, but everyone is safe for now. near the market.",MEDIUM,industrial,0,0,0,0,15,4,supplies,v3_industrial_medium_02,controlled_synthetic_v3,V3 policy example; supplies scenario with contextual rescue urgency.,en,train
rpv3-01410,Resident says: Wildfire report: Moderate damage affects the area; residents need a welfare check and basic assistance. near the school. Send the appropriate team.,MEDIUM,wildfire,0,0,0,0,8,1,damage,v3_wildfire_medium_01,controlled_synthetic_v3,V3 policy example; damage scenario with contextual rescue urgency.,en,validation
rpv3-00324,Flood report: This is a news update about the disaster; there is no emergency here. in the north district. Please advise.,LOW,flood,0,0,0,0,0,3,news,v3_flood_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,test
rpv3-03604,Resident says: Other report: People are trapped and cannot escape; immediate rescue is required. near the market. Please advise.,CRITICAL,other,1,1,0,0,5,3,trapped,v3_other_critical_01,controlled_synthetic_v3,V3 policy example; trapped scenario with contextual rescue urgency.,en,train
rpv3-01525,Wildfire report: This is a news update about the incident; there is no emergency here. along the main road. Send the appropriate team.,LOW,wildfire,0,0,0,0,0,5,news,v3_wildfire_low_02,controlled_synthetic_v3,V3 policy example; news scenario with contextual rescue urgency.,en,train
rpv3-02677,Transportation report: One person has a stable minor injury and can wait for non-urgent medical assistance. along the main road. Please advise.,MEDIUM,transportation,1,0,0,1,1,4,stable,v3_transportation_medium_04,controlled_synthetic_v3,V3 policy example; stable scenario with contextual rescue urgency.,en,train
rpv3-00502,Please help: Earthquake report: Damage has made several homes unsafe and families need urgent evacuation support. near the school.,HIGH,earthquake,0,0,0,0,18,5,evacuation,v3_earthquake_high_01,controlled_synthetic_v3,V3 policy example; evacuation scenario with contextual rescue urgency.,en,train
