id,message,priority_label,disaster_type,injured,trapped,fire,medical_emergency,people_affected,event_id,source_type,annotation_reason,language,split
rp-03965,SOS report: please provide information about the nearest shelter; no evacuation is needed in the north neighborhood a few minutes ago; several residents are accounted for. A resident reports; the caller has provided this update. This is the latest update.,LOW,other,0,0,0,0,1,low_other_information,controlled_synthetic,"Controlled scenario: information; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-02309,a small fire damaged part of an empty building and is being contained near the riverside this morning; several residents are accounted for. According to the latest update; the information is ready for triage.,MEDIUM,industrial,0,0,1,0,2,medium_industrial_small_fire,controlled_synthetic,"Controlled scenario: small_fire; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-01380,I need to report that fire damaged part of the building; everyone evacuated safely but support is needed in the north neighborhood during the night; one person is accounted for. The response log records; the message is complete. We are requesting responders.,HIGH,industrial,0,0,1,0,8,high_industrial_dangerous_fire,controlled_synthetic,"Controlled scenario: dangerous_fire; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00243,Our situation is this: a person is bleeding severely after the crash and needs immediate medical rescue near the community center over the last hour; two people are accounted for. From the latest field note; the team is waiting for guidance. We are requesting responders.,CRITICAL,transportation,1,0,0,1,1,critical_transportation_bleeding,controlled_synthetic,"Controlled scenario: bleeding; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03912,Our situation is this: please provide information about the nearest shelter; no evacuation is needed in the industrial district since early afternoon; several residents are accounted for. The caller reports; the report has been logged. We are requesting responders.,LOW,other,0,0,0,0,1,low_other_information,controlled_synthetic,"Controlled scenario: information; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-02948,Our situation is this: a local disturbance damaged storefronts and businesses need assistance by the school after the storm; several residents are accounted for. From the latest field note; this is the current field description. Please record this situation.,MEDIUM,societal,0,0,0,0,8,medium_societal_community_support,controlled_synthetic,"Controlled scenario: community_support; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00843,Our situation is this: the hurricane destroyed the building and injured residents need immediate rescue beside the market during the night; workers are accounted for. From the latest field note; the team is waiting for guidance. This is the latest update.,CRITICAL,hurricane,1,0,0,1,9,critical_hurricane_hurricane_rescue,controlled_synthetic,"Controlled scenario: hurricane_rescue; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-01298,Dispatch message: the earthquake badly damaged a building and occupants must evacuate near the community center during the night; two people are accounted for. The latest check confirms; this is the current field description. We are requesting responders.,HIGH,earthquake,0,0,0,0,14,high_earthquake_structural_damage,controlled_synthetic,"Controlled scenario: structural_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01601,Please help: a bus crash caused serious injuries; everyone is conscious and responders are needed near the riverside during the night; workers are accounted for. According to the latest update; responders should use this information. We are requesting responders.,HIGH,transportation,1,0,0,1,7,high_transportation_transport_crash,controlled_synthetic,"Controlled scenario: transport_crash; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03805,Please help: a vehicle stopped on the roadside; no one is hurt and traffic is moving by the school; this is only an informational check and no responder is needed. According to the latest update; the caller has provided this update.,LOW,transportation,0,0,0,0,1,low_transportation_traffic,controlled_synthetic,"Controlled scenario: traffic; label reflects operational rescue urgency, not keyword presence.",en,test
rp-02335,SOS report: a small fire damaged part of an empty building and is being contained in the industrial district after the storm; one person is accounted for. The current report says; the caller has provided this update. We are requesting responders.,MEDIUM,industrial,0,0,1,0,2,medium_industrial_small_fire,controlled_synthetic,"Controlled scenario: small_fire; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-03934,Please help: please provide information about the nearest shelter; no evacuation is needed by the school after the storm; workers are accounted for. The current report says; this message is being shared with dispatch. Please send the appropriate response.,LOW,other,0,0,0,0,1,low_other_information,controlled_synthetic,"Controlled scenario: information; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-00493,Please help: rapidly rising floodwater has trapped a family and they cannot escape near the community center this morning; one person is accounted for. The latest check confirms; the team is waiting for guidance. Please record this situation.,CRITICAL,flood,0,1,0,0,5,critical_flood_flood_trapped,controlled_synthetic,"Controlled scenario: flood_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02567,a minor crash is blocking one lane; everyone is conscious and safe on the main road a few minutes ago; a family is accounted for. A resident reports; the status should be reviewed. This is the latest update.,MEDIUM,transportation,0,0,0,0,2,medium_transportation_road_disruption,controlled_synthetic,"Controlled scenario: road_disruption; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00467,I need to report that rapidly rising floodwater has trapped a family and they cannot escape on the main road a few minutes ago; workers are accounted for. A resident reports; the status should be reviewed. We are requesting responders.,CRITICAL,flood,0,1,0,0,5,critical_flood_flood_trapped,controlled_synthetic,"Controlled scenario: flood_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03007,"Please help: hello, I am checking whether the emergency channel is available beside the market a few minutes ago; several residents are accounted for. According to the latest update; the status should be reviewed. This is the latest update.",LOW,other,0,0,0,0,0,low_other_greeting,controlled_synthetic,"Controlled scenario: greeting; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03896,SOS report: a vehicle stopped on the roadside; no one is hurt and traffic is moving in the industrial district a few minutes ago; several residents are accounted for. The latest check confirms; the operations desk has been notified. Please record this situation.,LOW,transportation,0,0,0,0,1,low_transportation_traffic,controlled_synthetic,"Controlled scenario: traffic; label reflects operational rescue urgency, not keyword presence.",en,test
rp-01619,Please help: a bus crash caused serious injuries; everyone is conscious and responders are needed on the main road since early afternoon; several residents are accounted for. The caller reports; the information is ready for triage. This is the latest update.,HIGH,transportation,1,0,0,1,7,high_transportation_transport_crash,controlled_synthetic,"Controlled scenario: transport_crash; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02111,"an earthquake caused moderate damage to a room, but everyone is safe near the riverside this morning; two people are accounted for. The caller reports; responders should use this information. We are requesting responders.",MEDIUM,earthquake,0,0,0,0,2,medium_earthquake_moderate_damage,controlled_synthetic,"Controlled scenario: moderate_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02305,SOS report: a small fire damaged part of an empty building and is being contained in the north neighborhood after the storm; one person is accounted for. According to the latest update; the caller has provided this update. We are requesting responders.,MEDIUM,industrial,0,0,1,0,2,medium_industrial_small_fire,controlled_synthetic,"Controlled scenario: small_fire; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-00257,I need to report that a person is bleeding severely after the crash and needs immediate medical rescue at the apartment block this morning; several residents are accounted for. The situation update states; the status should be reviewed.,CRITICAL,transportation,1,0,0,1,1,critical_transportation_bleeding,controlled_synthetic,"Controlled scenario: bleeding; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01515,SOS report: wildfire is approaching homes and an organized evacuation is required by the school this morning; workers are accounted for. The caller reports; the caller has provided this update. Please record this situation.,HIGH,wildfire,0,0,1,0,30,high_wildfire_wildfire_front,controlled_synthetic,"Controlled scenario: wildfire_front; label reflects operational rescue urgency, not keyword presence.",en,test
rp-03927,please provide information about the nearest shelter; no evacuation is needed by the school this morning; two people are accounted for. In a follow-up message; the status should be reviewed. We are requesting responders.,LOW,other,0,0,0,0,1,low_other_information,controlled_synthetic,"Controlled scenario: information; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-02699,Our situation is this: wildfire smoke is affecting the neighborhood and residents need masks in the north neighborhood a few minutes ago; a family is accounted for. The latest check confirms; the information is ready for triage. This is the latest update.,MEDIUM,wildfire,0,0,0,0,20,medium_wildfire_smoke_area,controlled_synthetic,"Controlled scenario: smoke_area; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02620,SOS report: wildfire smoke is affecting the neighborhood and residents need masks at the apartment block since early afternoon; a family is accounted for. The caller reports; the message is complete.,MEDIUM,wildfire,0,0,0,0,20,medium_wildfire_smoke_area,controlled_synthetic,"Controlled scenario: smoke_area; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00303,an active fire has people trapped inside the building beside the market since early afternoon; one person is accounted for. According to the latest update; the team is waiting for guidance. This is the latest update.,CRITICAL,industrial,0,1,1,0,9,critical_industrial_fire_trapped,controlled_synthetic,"Controlled scenario: fire_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00447,Our situation is this: rapidly rising floodwater has trapped a family and they cannot escape beside the market this morning; workers are accounted for. From the latest field note; the status should be reviewed. We are requesting responders.,CRITICAL,flood,0,1,0,0,5,critical_flood_flood_trapped,controlled_synthetic,"Controlled scenario: flood_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02982,Please help: a local disturbance damaged storefronts and businesses need assistance by the school over the last hour; workers are accounted for. The dispatch note says; the report has been logged. We are requesting responders.,MEDIUM,societal,0,0,0,0,8,medium_societal_community_support,controlled_synthetic,"Controlled scenario: community_support; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03624,"the hurricane forecast is being discussed, but our area is unaffected by the school during the night; two people are accounted for. In a follow-up message; this message is being shared with dispatch. This is the latest update.",LOW,hurricane,0,0,0,0,0,low_hurricane_weather,controlled_synthetic,"Controlled scenario: weather; label reflects operational rescue urgency, not keyword presence.",en,test
rp-00099,Our situation is this: several people are trapped inside a collapsed building and need immediate rescue in the north neighborhood over the last hour; workers are accounted for. The latest check confirms; the information is ready for triage. We are requesting responders.,CRITICAL,earthquake,1,1,0,1,6,critical_earthquake_trapped,controlled_synthetic,"Controlled scenario: trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02709,Dispatch message: several residents have mild symptoms and need a health information point by the school after the storm; two people are accounted for. According to the latest update; the information is ready for triage. Please record this situation.,MEDIUM,biological,0,0,0,1,6,medium_biological_public_health,controlled_synthetic,"Controlled scenario: public_health; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02536,I need to report that a minor crash is blocking one lane; everyone is conscious and safe in the north neighborhood since early afternoon; one person is accounted for. The current report says; the operations desk has been notified. Please send the appropriate response.,MEDIUM,transportation,0,0,0,0,2,medium_transportation_road_disruption,controlled_synthetic,"Controlled scenario: road_disruption; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01886,Dispatch message: a serious disturbance damaged a public facility and people need safe evacuation in the north neighborhood over the last hour; workers are accounted for. The dispatch note says; the operations desk has been notified. Please record this situation.,HIGH,societal,0,0,0,0,18,high_societal_civil_damage,controlled_synthetic,"Controlled scenario: civil_damage; label reflects operational rescue urgency, not keyword presence.",en,test
rp-01436,Dispatch message: hurricane damage has made several homes unsafe and families need assistance in the industrial district a few minutes ago; one person is accounted for. The current report says; the operations desk has been notified.,HIGH,hurricane,0,0,0,0,16,high_hurricane_storm_damage,controlled_synthetic,"Controlled scenario: storm_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01806,SOS report: a serious disturbance damaged a public facility and people need safe evacuation by the school a few minutes ago; two people are accounted for. According to the latest update; the operations desk has been notified. Please record this situation.,HIGH,societal,0,0,0,0,18,high_societal_civil_damage,controlled_synthetic,"Controlled scenario: civil_damage; label reflects operational rescue urgency, not keyword presence.",en,test
rp-01624,a bus crash caused serious injuries; everyone is conscious and responders are needed by the school this morning; several residents are accounted for. In a follow-up message; this message is being shared with dispatch. This is the latest update.,HIGH,transportation,1,0,0,1,7,high_transportation_transport_crash,controlled_synthetic,"Controlled scenario: transport_crash; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03298,Dispatch message: I am sharing news about an earthquake; there is no emergency here beside the market over the last hour; a family is accounted for. The latest check confirms; this is the current field description. We are requesting responders.,LOW,earthquake,0,0,0,0,0,low_earthquake_news,controlled_synthetic,"Controlled scenario: news; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03776,"I need to report that smoke is visible far away, but no fire or danger is near us in the north neighborhood this morning; one person is accounted for. The response log records; the operations desk has been notified. This is the latest update.",LOW,wildfire,0,0,0,0,0,low_wildfire_smoke_report,controlled_synthetic,"Controlled scenario: smoke_report; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00117,an unconscious person is not responding and needs emergency medical help now by the school during the night; two people are accounted for. The caller reports; the status should be reviewed. Please record this situation.,CRITICAL,other,1,0,0,1,1,critical_other_unconscious,controlled_synthetic,"Controlled scenario: unconscious; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00181,Dispatch message: an unconscious person is not responding and needs emergency medical help now near the riverside after the storm; one person is accounted for. The dispatch note says; responders should use this information. We are requesting responders.,CRITICAL,other,1,0,0,1,1,critical_other_unconscious,controlled_synthetic,"Controlled scenario: unconscious; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02472,Dispatch message: one person has a painful but stable injury and needs assistance in the north neighborhood during the night; several residents are accounted for. The response log records; the report has been logged. We are requesting responders.,MEDIUM,other,1,0,0,1,1,medium_other_medical_help,controlled_synthetic,"Controlled scenario: medical_help; label reflects operational rescue urgency, not keyword presence.",en,test
rp-01709,Dispatch message: an outbreak is affecting many residents and urgent public-health support is needed at the apartment block since early afternoon; several residents are accounted for. According to the latest update; the information is ready for triage. Please record this situation.,HIGH,biological,0,0,0,1,35,high_biological_public_health,controlled_synthetic,"Controlled scenario: public_health; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-03072,"hello, I am checking whether the emergency channel is available on the main road since early afternoon; a family is accounted for. The response log records; the report has been logged. This is the latest update.",LOW,other,0,0,0,0,0,low_other_greeting,controlled_synthetic,"Controlled scenario: greeting; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03431,"I need to report that a small amount of water is on the road, everyone is safe on the main road over the last hour; a family is accounted for. The current report says; responders should use this information.",LOW,flood,0,0,0,0,1,low_flood_minor_flood,controlled_synthetic,"Controlled scenario: minor_flood; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03841,Please help: a vehicle stopped on the roadside; no one is hurt and traffic is moving in the north neighborhood after the storm; workers are accounted for. From the latest field note; responders should use this information. Please record this situation.,LOW,transportation,0,0,0,0,1,low_transportation_traffic,controlled_synthetic,"Controlled scenario: traffic; label reflects operational rescue urgency, not keyword presence.",en,test
rp-01287,I need to report that the earthquake badly damaged a building and occupants must evacuate near the community center a few minutes ago; one person is accounted for. The dispatch note says; the status should be reviewed.,HIGH,earthquake,0,0,0,0,14,high_earthquake_structural_damage,controlled_synthetic,"Controlled scenario: structural_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00876,the hurricane destroyed the building and injured residents need immediate rescue in the industrial district a few minutes ago; two people are accounted for. The response log records; the operations desk has been notified. Please record this situation.,CRITICAL,hurricane,1,0,0,1,9,critical_hurricane_hurricane_rescue,controlled_synthetic,"Controlled scenario: hurricane_rescue; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-03310,Please help: the fire drill is scheduled for tomorrow and everyone is safe at the apartment block after the storm; one person is accounted for. According to the latest update; the message is complete. We are requesting responders.,LOW,industrial,0,0,1,0,0,low_industrial_drill,controlled_synthetic,"Controlled scenario: drill; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02596,I need to report that a minor crash is blocking one lane; everyone is conscious and safe in the north neighborhood during the night; several residents are accounted for. The latest check confirms; the operations desk has been notified. Please send the appropriate response.,MEDIUM,transportation,0,0,0,0,2,medium_transportation_road_disruption,controlled_synthetic,"Controlled scenario: road_disruption; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01611,I need to report that a bus crash caused serious injuries; everyone is conscious and responders are needed on the main road since early afternoon; one person is accounted for. The caller reports; responders should use this information. We are requesting responders.,HIGH,transportation,1,0,0,1,7,high_transportation_transport_crash,controlled_synthetic,"Controlled scenario: transport_crash; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03640,"Dispatch message: the hurricane forecast is being discussed, but our area is unaffected in the north neighborhood a few minutes ago; workers are accounted for. The current report says; the message is complete.",LOW,hurricane,0,0,0,0,0,low_hurricane_weather,controlled_synthetic,"Controlled scenario: weather; label reflects operational rescue urgency, not keyword presence.",en,test
rp-03579,there is a small crack in an empty building; no response is needed on the main road after the storm; workers are accounted for. The response log records; the information is ready for triage. We are requesting responders.,LOW,earthquake,0,0,0,0,0,low_earthquake_minor_damage,controlled_synthetic,"Controlled scenario: minor_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03045,"Our situation is this: hello, I am checking whether the emergency channel is available on the main road this morning; one person is accounted for. From the latest field note; the caller has provided this update. Please record this situation.",LOW,other,0,0,0,0,0,low_other_greeting,controlled_synthetic,"Controlled scenario: greeting; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03415,"Please help: a small amount of water is on the road, everyone is safe beside the market this morning; one person is accounted for. The caller reports; the caller has provided this update. This is the latest update.",LOW,flood,0,0,0,0,1,low_flood_minor_flood,controlled_synthetic,"Controlled scenario: minor_flood; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02282,the storm caused a local power outage and residents need support at the apartment block during the night; two people are accounted for. The dispatch note says; the report has been logged.,MEDIUM,hurricane,0,0,0,0,12,medium_hurricane_power_outage,controlled_synthetic,"Controlled scenario: power_outage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03767,"SOS report: smoke is visible far away, but no fire or danger is near us beside the market over the last hour; several residents are accounted for. A resident reports; the status should be reviewed.",LOW,wildfire,0,0,0,0,0,low_wildfire_smoke_report,controlled_synthetic,"Controlled scenario: smoke_report; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02618,wildfire smoke is affecting the neighborhood and residents need masks in the north neighborhood a few minutes ago; one person is accounted for. The caller reports; this is the current field description. Please send the appropriate response.,MEDIUM,wildfire,0,0,0,0,20,medium_wildfire_smoke_area,controlled_synthetic,"Controlled scenario: smoke_area; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01182,I need to report that a person has a serious leg injury and needs urgent medical response at the apartment block a few minutes ago; workers are accounted for. The dispatch note says; the report has been logged. Please record this situation.,HIGH,other,1,0,0,1,1,high_other_serious_injury,controlled_synthetic,"Controlled scenario: serious_injury; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00864,the hurricane destroyed the building and injured residents need immediate rescue by the school during the night; one person is accounted for. A resident reports; this message is being shared with dispatch.,CRITICAL,hurricane,1,0,0,1,9,critical_hurricane_hurricane_rescue,controlled_synthetic,"Controlled scenario: hurricane_rescue; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-03946,Please help: please provide information about the nearest shelter; no evacuation is needed on the main road this morning; one person is accounted for. From the latest field note; the operations desk has been notified.,LOW,other,0,0,0,0,1,low_other_information,controlled_synthetic,"Controlled scenario: information; label reflects operational rescue urgency, not keyword presence.",en,validation
rp-00623,I need to report that wildfire surrounds the house and residents are trapped inside in the north neighborhood this morning; several residents are accounted for. In a follow-up message; the team is waiting for guidance. Please send the appropriate response.,CRITICAL,wildfire,0,1,1,0,4,critical_wildfire_wildfire_trapped,controlled_synthetic,"Controlled scenario: wildfire_trapped; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03290,SOS report: I am sharing news about an earthquake; there is no emergency here beside the market over the last hour; a family is accounted for. The dispatch note says; the message is complete. Please send the appropriate response.,LOW,earthquake,0,0,0,0,0,low_earthquake_news,controlled_synthetic,"Controlled scenario: news; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02003,Our situation is this: floodwater has entered the yard and we need basic assistance by the school over the last hour; one person is accounted for. According to the latest update; the team is waiting for guidance.,MEDIUM,flood,0,0,0,0,2,medium_flood_localized_flood,controlled_synthetic,"Controlled scenario: localized_flood; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02736,Please help: several residents have mild symptoms and need a health information point in the industrial district a few minutes ago; one person is accounted for. The current report says; the operations desk has been notified. This is the latest update.,MEDIUM,biological,0,0,0,1,6,medium_biological_public_health,controlled_synthetic,"Controlled scenario: public_health; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03619,"Please help: the hurricane forecast is being discussed, but our area is unaffected near the community center a few minutes ago; one person is accounted for. The caller reports; the information is ready for triage. This is the latest update.",LOW,hurricane,0,0,0,0,0,low_hurricane_weather,controlled_synthetic,"Controlled scenario: weather; label reflects operational rescue urgency, not keyword presence.",en,test
rp-03314,I need to report that the fire drill is scheduled for tomorrow and everyone is safe near the riverside this morning; workers are accounted for. The caller reports; this message is being shared with dispatch.,LOW,industrial,0,0,1,0,0,low_industrial_drill,controlled_synthetic,"Controlled scenario: drill; label reflects operational rescue urgency, not keyword presence.",en,train
rp-01311,SOS report: fire damaged part of the building; everyone evacuated safely but support is needed on the main road over the last hour; several residents are accounted for. The caller reports; responders should use this information. Please record this situation.,HIGH,industrial,0,0,1,0,8,high_industrial_dangerous_fire,controlled_synthetic,"Controlled scenario: dangerous_fire; label reflects operational rescue urgency, not keyword presence.",en,train
rp-03537,there is a small crack in an empty building; no response is needed in the north neighborhood a few minutes ago; one person is accounted for. The current report says; the status should be reviewed. This is the latest update.,LOW,earthquake,0,0,0,0,0,low_earthquake_minor_damage,controlled_synthetic,"Controlled scenario: minor_damage; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00783,the tornado destroyed the shelter and people are trapped under debris beside the market a few minutes ago; one person is accounted for. The dispatch note says; the team is waiting for guidance. We are requesting responders.,CRITICAL,tornado,1,1,0,1,8,critical_tornado_tornado_collapse,controlled_synthetic,"Controlled scenario: tornado_collapse; label reflects operational rescue urgency, not keyword presence.",en,train
rp-00738,Our situation is this: the tornado destroyed the shelter and people are trapped under debris on the main road during the night; one person is accounted for. The current report says; this is the current field description. We are requesting responders.,CRITICAL,tornado,1,1,0,1,8,critical_tornado_tornado_collapse,controlled_synthetic,"Controlled scenario: tornado_collapse; label reflects operational rescue urgency, not keyword presence.",en,train
rp-02387,a small fire damaged part of an empty building and is being contained on the main road during the night; a family is accounted for. The dispatch note says; the status should be reviewed. Please send the appropriate response.,MEDIUM,industrial,0,0,1,0,2,medium_industrial_small_fire,controlled_synthetic,"Controlled scenario: small_fire; label reflects operational rescue urgency, not keyword presence.",en,validation
